name,value,year,lastvalue,rank
AGUASCALIENTES,1,2020-01-14,0,1.0
AGUASCALIENTES,2,2020-03-07,1,5.5
AGUASCALIENTES,3,2020-03-10,2,11.5
AGUASCALIENTES,4,2020-03-12,3,13.0
AGUASCALIENTES,5,2020-03-14,4,15.5
AGUASCALIENTES,6,2020-03-15,5,17.0
AGUASCALIENTES,8,2020-03-16,6,18.0
AGUASCALIENTES,10,2020-03-17,8,18.5
AGUASCALIENTES,14,2020-03-18,10,16.5
AGUASCALIENTES,16,2020-03-19,14,14.0
AGUASCALIENTES,18,2020-03-20,16,17.0
AGUASCALIENTES,23,2020-03-22,18,16.5
AGUASCALIENTES,32,2020-03-23,23,14.0
AGUASCALIENTES,37,2020-03-24,32,13.0
AGUASCALIENTES,42,2020-03-25,37,13.0
AGUASCALIENTES,46,2020-03-26,42,13.0
AGUASCALIENTES,52,2020-03-27,46,13.0
AGUASCALIENTES,54,2020-03-28,52,13.0
AGUASCALIENTES,57,2020-03-29,54,12.0
AGUASCALIENTES,60,2020-03-30,57,15.0
AGUASCALIENTES,61,2020-03-31,60,15.0
AGUASCALIENTES,62,2020-04-01,61,16.0
AGUASCALIENTES,64,2020-04-02,62,16.0
AGUASCALIENTES,65,2020-04-03,64,17.0
AGUASCALIENTES,67,2020-04-05,65,19.5
AGUASCALIENTES,71,2020-04-06,67,21.0
AGUASCALIENTES,74,2020-04-07,71,20.5
AGUASCALIENTES,76,2020-04-08,74,21.0
AGUASCALIENTES,79,2020-04-09,76,21.0
AGUASCALIENTES,84,2020-04-10,79,22.0
AGUASCALIENTES,90,2020-04-11,84,22.0
AGUASCALIENTES,95,2020-04-12,90,22.0
AGUASCALIENTES,101,2020-04-13,95,22.0
AGUASCALIENTES,112,2020-04-14,101,22.0
AGUASCALIENTES,122,2020-04-15,112,22.0
AGUASCALIENTES,130,2020-04-16,122,22.0
AGUASCALIENTES,141,2020-04-17,130,22.0
AGUASCALIENTES,156,2020-04-18,141,22.0
AGUASCALIENTES,163,2020-04-19,156,22.0
AGUASCALIENTES,182,2020-04-20,163,22.0
AGUASCALIENTES,188,2020-04-21,182,22.0
AGUASCALIENTES,199,2020-04-22,188,22.0
AGUASCALIENTES,216,2020-04-23,199,22.0
AGUASCALIENTES,228,2020-04-24,216,22.0
AGUASCALIENTES,237,2020-04-25,228,22.0
AGUASCALIENTES,247,2020-04-26,237,23.0
AGUASCALIENTES,275,2020-04-27,247,22.0
AGUASCALIENTES,287,2020-04-28,275,22.0
AGUASCALIENTES,303,2020-04-29,287,22.0
AGUASCALIENTES,327,2020-04-30,303,22.0
AGUASCALIENTES,337,2020-05-01,327,23.0
AGUASCALIENTES,356,2020-05-02,337,23.0
AGUASCALIENTES,367,2020-05-03,356,24.0
AGUASCALIENTES,390,2020-05-04,367,24.0
AGUASCALIENTES,412,2020-05-05,390,23.5
AGUASCALIENTES,421,2020-05-06,412,25.0
AGUASCALIENTES,439,2020-05-07,421,25.0
AGUASCALIENTES,448,2020-05-08,439,25.0
AGUASCALIENTES,456,2020-05-09,448,24.5
AGUASCALIENTES,476,2020-05-10,456,24.0
AGUASCALIENTES,506,2020-05-11,476,24.0
AGUASCALIENTES,520,2020-05-12,506,24.0
AGUASCALIENTES,541,2020-05-13,520,24.0
AGUASCALIENTES,562,2020-05-14,541,25.0
AGUASCALIENTES,583,2020-05-15,562,26.0
AGUASCALIENTES,598,2020-05-16,583,26.0
AGUASCALIENTES,615,2020-05-17,598,26.0
AGUASCALIENTES,637,2020-05-18,615,26.0
AGUASCALIENTES,658,2020-05-19,637,26.0
AGUASCALIENTES,691,2020-05-20,658,26.0
AGUASCALIENTES,723,2020-05-21,691,26.0
AGUASCALIENTES,753,2020-05-22,723,26.0
AGUASCALIENTES,774,2020-05-23,753,26.0
AGUASCALIENTES,803,2020-05-24,774,26.0
AGUASCALIENTES,840,2020-05-25,803,26.0
AGUASCALIENTES,883,2020-05-26,840,26.0
AGUASCALIENTES,909,2020-05-27,883,26.0
AGUASCALIENTES,946,2020-05-28,909,26.0
AGUASCALIENTES,974,2020-05-29,946,26.0
AGUASCALIENTES,1001,2020-05-30,974,26.0
AGUASCALIENTES,1026,2020-05-31,1001,25.0
AGUASCALIENTES,1069,2020-06-01,1026,23.0
AGUASCALIENTES,1097,2020-06-02,1069,20.0
BAJA CALIFORNIA,1,2020-01-17,0,1.0
BAJA CALIFORNIA,2,2020-02-06,1,1.0
BAJA CALIFORNIA,3,2020-02-07,2,1.0
BAJA CALIFORNIA,4,2020-03-09,3,7.0
BAJA CALIFORNIA,6,2020-03-11,4,9.0
BAJA CALIFORNIA,8,2020-03-12,6,8.0
BAJA CALIFORNIA,12,2020-03-13,8,7.5
BAJA CALIFORNIA,16,2020-03-14,12,7.5
BAJA CALIFORNIA,19,2020-03-15,16,8.0
BAJA CALIFORNIA,24,2020-03-16,19,6.5
BAJA CALIFORNIA,29,2020-03-17,24,7.0
BAJA CALIFORNIA,40,2020-03-18,29,6.0
BAJA CALIFORNIA,50,2020-03-19,40,4.0
BAJA CALIFORNIA,65,2020-03-20,50,5.0
BAJA CALIFORNIA,71,2020-03-21,65,5.0
BAJA CALIFORNIA,77,2020-03-22,71,5.0
BAJA CALIFORNIA,95,2020-03-23,77,4.0
BAJA CALIFORNIA,115,2020-03-24,95,3.0
BAJA CALIFORNIA,133,2020-03-25,115,3.0
BAJA CALIFORNIA,157,2020-03-26,133,3.0
BAJA CALIFORNIA,184,2020-03-27,157,3.0
BAJA CALIFORNIA,209,2020-03-28,184,3.0
BAJA CALIFORNIA,246,2020-03-29,209,3.0
BAJA CALIFORNIA,287,2020-03-30,246,3.0
BAJA CALIFORNIA,320,2020-03-31,287,3.0
BAJA CALIFORNIA,373,2020-04-01,320,3.0
BAJA CALIFORNIA,437,2020-04-02,373,3.0
BAJA CALIFORNIA,486,2020-04-03,437,3.0
BAJA CALIFORNIA,536,2020-04-04,486,3.0
BAJA CALIFORNIA,582,2020-04-05,536,3.0
